"sim:A->T"	"sim:T->A"	"sim:C->G"	"sim:G->C"	"sim:A->C"	"sim:T->G"	"sim:A->G"	"sim:T->C"	"sim:C->A"	"sim:G->T"	"sim:C->T"	"sim:G->A"	"sim:CG->TG|CG->CA"	"sim:C|G"	"sim:Ne"	"fit:A->T"	"fit:T->A"	"fit:C->G"	"fit:G->C"	"fit:A->C"	"fit:T->G"	"fit:A->G"	"fit:T->C"	"fit:C->A"	"fit:G->T"	"fit:C->T"	"fit:G->A"	"fit:CG->TG|CG->CA"	"fit:C|G"	"fit:Ne"	"leftwin"	"longwin"	"shortwin"	"rowtaxon"	"loglik"	"convergence"
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0085	0.0104	0.0151	0.0152	0.0073	0.0071	0.0083	0.0081	0.0121	0.0114	0.0119	0.0119	0.04	0.0033	302.7813	1	5	2	"root"	-36708.0534	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0085	0.0104	0.0151	0.0152	0.0074	0.0071	0.0083	0.0081	0.0121	0.0114	0.0119	0.0119	0.04	0.0072	140.0856	2	6	2	"root"	-36708.0206	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0085	0.0104	0.0151	0.0152	0.0074	0.0071	0.0083	0.0081	0.0121	0.0114	0.0119	0.0119	0.04	0.0025	406.903	1	4	2	"root"	-36708.1153	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0085	0.0104	0.0151	0.0152	0.0074	0.0071	0.0083	0.0081	0.0121	0.0114	0.0119	0.0119	0.04	0.011	92.6972	1	3	1	"root"	-18356.2054	1
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0096	0.0102	0.0156	0.0155	0.0077	0.0078	0.0078	0.0071	0.0121	0.0122	0.0118	0.0118	0.04	3e-04	3340.5452	1	5	2	"root"	-37094.094	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0098	0.0101	0.0152	0.0152	0.0079	0.0081	0.008	0.0072	0.012	0.012	0.0119	0.0119	0.04	0.0015	670.0791	2	6	2	"root"	-37091.2876	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0096	0.0102	0.0156	0.0154	0.0077	0.0078	0.0078	0.0071	0.0121	0.0122	0.0118	0.0118	0.04	8e-04	1193.9305	1	4	2	"root"	-37094.2346	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0097	0.0102	0.0156	0.0154	0.0077	0.0078	0.0078	0.0071	0.0121	0.0122	0.0118	0.0118	0.04	0.0059	169.7919	1	3	1	"root"	-18551.897	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0097	0.0102	0.0147	0.0152	0.0081	0.0093	0.0077	0.0076	0.0123	0.012	0.0121	0.0119	0.04	7e-04	1306.1552	1	5	2	"root"	-37503.1478	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0097	0.0102	0.0147	0.0152	0.0081	0.0093	0.0077	0.0076	0.0123	0.012	0.0121	0.0119	0.04	7e-04	1306.3015	2	6	2	"root"	-37503.0569	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0097	0.0102	0.0147	0.0152	0.0081	0.0093	0.0077	0.0076	0.0123	0.012	0.0121	0.0119	0.04	7e-04	1306.0424	1	4	2	"root"	-37503.2177	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0097	0.0102	0.0147	0.0152	0.0081	0.0093	0.0077	0.0076	0.0123	0.012	0.0121	0.0119	0.04	7e-04	1306.2223	1	3	1	"root"	-18751.7481	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000.0011	1	5	2	"root"	-37316.7724	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000.0011	2	6	2	"root"	-37316.7276	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000.0011	1	4	2	"root"	-37316.866	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000.0011	1	3	1	"root"	-18660.5269	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.01	0.0099	0.015	0.0153	0.0074	0.0081	0.0083	0.0074	0.0121	0.0119	0.0119	0.012	0.04	0.0014	684.6383	1	5	2	"root"	-36983.5801	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.01	0.0099	0.015	0.0153	0.0074	0.0081	0.0083	0.0074	0.0121	0.0119	0.0119	0.012	0.04	0.0014	684.6887	2	6	2	"root"	-36983.5128	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.01	0.0099	0.015	0.0153	0.0074	0.0081	0.0083	0.0074	0.0121	0.0119	0.0119	0.012	0.04	0.0014	684.5524	1	4	2	"root"	-36983.6697	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.01	0.0099	0.015	0.0153	0.0074	0.0081	0.0083	0.0074	0.0121	0.0119	0.0119	0.012	0.04	0.0014	684.0608	1	3	1	"root"	-18493.5492	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1011.5818	1	5	2	"root"	-37447.9737	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1011.5791	2	6	2	"root"	-37447.9294	0
