"sim:A->T"	"sim:T->A"	"sim:C->G"	"sim:G->C"	"sim:A->C"	"sim:T->G"	"sim:A->G"	"sim:T->C"	"sim:C->A"	"sim:G->T"	"sim:C->T"	"sim:G->A"	"sim:CG->TG|CG->CA"	"sim:C|G"	"sim:Ne"	"fit:A->T"	"fit:T->A"	"fit:C->G"	"fit:G->C"	"fit:A->C"	"fit:T->G"	"fit:A->G"	"fit:T->C"	"fit:C->A"	"fit:G->T"	"fit:C->T"	"fit:G->A"	"fit:CG->TG|CG->CA"	"fit:C|G"	"fit:Ne"	"leftwin"	"longwin"	"shortwin"	"rowtaxon"	"loglik"	"convergence"
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.009	0.0101	0.016	0.015	0.0077	0.0081	0.0081	0.008	0.0129	0.0126	0.0113	0.0117	0.0398	0.001	999.6259	1	3	1	"root"	-18669.4797	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.009	0.0101	0.0159	0.015	0.0077	0.008	0.008	0.0078	0.0131	0.0128	0.0111	0.0117	0.0397	0.001	999.4408	1	4	2	"root"	-37335.9273	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.009	0.0101	0.016	0.015	0.0077	0.0081	0.0081	0.008	0.0129	0.0126	0.0113	0.0117	0.0398	0.001	999.6072	1	5	3	"root"	-56002.6132	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0091	0.0101	0.0159	0.015	0.0077	0.008	0.008	0.0079	0.0131	0.0128	0.0111	0.0117	0.0397	0.001	999.4232	2	6	2	"root"	-37335.7667	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0094	0.0099	0.0145	0.0157	0.0084	0.0076	0.0073	0.0085	0.0132	0.0099	0.0137	0.0132	0.0393	0.001	999.3478	1	3	1	"root"	-18617.4118	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0094	0.0099	0.0144	0.0158	0.0083	0.0077	0.0072	0.0085	0.0132	0.0098	0.0137	0.0133	0.0393	0.001	999.3374	1	4	2	"root"	-37228.2179	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0096	0.0099	0.0144	0.0158	0.0084	0.0076	0.0073	0.0085	0.0131	0.0099	0.0135	0.0131	0.0394	0.001	999.4762	1	5	3	"root"	-55839.1779	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0096	0.0099	0.0143	0.0158	0.0083	0.0076	0.0072	0.0085	0.0129	0.0101	0.0133	0.0129	0.0396	0.001	999.5766	2	6	2	"root"	-37223.8471	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0101	0.0096	0.0139	0.0172	0.0077	0.0072	0.0077	0.0081	0.0146	0.011	0.0113	0.0115	0.0397	0.001	999.5081	1	3	1	"root"	-18487.6732	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0101	0.0096	0.0139	0.0171	0.0078	0.0073	0.0077	0.008	0.0145	0.011	0.0114	0.0116	0.0396	0.001	999.5311	1	4	2	"root"	-36976.5596	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0101	0.0096	0.014	0.0172	0.0077	0.0072	0.0077	0.008	0.0148	0.0109	0.0114	0.0116	0.0395	0.001	999.4592	1	5	3	"root"	-55465.1897	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0101	0.0095	0.0139	0.0173	0.0077	0.0071	0.0077	0.008	0.0146	0.011	0.0114	0.0116	0.0396	0.001	999.5098	2	6	2	"root"	-36976.4723	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.01	0.0107	0.0142	0.0154	0.0087	0.0081	0.0078	0.0079	0.0111	0.0122	0.0109	0.0111	0.0408	0.001	996.0927	1	3	1	"root"	-18738.41	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.01	0.0107	0.0141	0.0154	0.0088	0.0081	0.0079	0.0079	0.011	0.0122	0.0105	0.0109	0.0411	0.001	995.8949	1	4	2	"root"	-37466.8102	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0099	0.0109	0.0146	0.0152	0.0088	0.0081	0.008	0.008	0.0109	0.0118	0.0102	0.0106	0.0414	0.001	995.5996	1	5	3	"root"	-56194.3467	1
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0099	0.011	0.0145	0.0153	0.0086	0.0079	0.0077	0.0078	0.0118	0.0121	0.0117	0.0118	0.0402	0.001	997.7505	2	6	2	"root"	-37468.0403	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0107	0.0093	0.015	0.0159	0.0072	0.0077	0.0078	0.0077	0.014	0.0144	0.0125	0.0102	0.0388	0.001	999.5609	1	3	1	"root"	-18541.7082	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0106	0.0094	0.015	0.0158	0.0071	0.0075	0.0078	0.0076	0.0142	0.0146	0.0125	0.0102	0.0387	0.0011	999.3275	1	4	2	"root"	-37080.0729	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0104	0.0096	0.015	0.0154	0.0071	0.0074	0.0075	0.0075	0.0149	0.0153	0.013	0.0105	0.0379	0.0011	999.1061	1	5	3	"root"	-55616.6434	1
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0107	0.0093	0.015	0.0159	0.0072	0.0077	0.0078	0.0077	0.0141	0.0145	0.0124	0.0102	0.0387	0.001	999.5938	2	6	2	"root"	-37080.5209	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.01	0.0099	0.0152	0.015	0.0076	0.0079	0.0087	0.0083	0.012	0.0121	0.012	0.012	0.04	0.001	999.9809	1	3	1	"root"	-18807.7904	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0099	0.0097	0.0155	0.0151	0.0078	0.008	0.0088	0.0084	0.0119	0.0121	0.0121	0.012	0.0401	9e-04	999.921	1	4	2	"root"	-37613.7596	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0099	0.0097	0.0155	0.0151	0.0078	0.008	0.0088	0.0084	0.0119	0.0121	0.0121	0.012	0.0401	9e-04	999.9207	1	5	3	"root"	-56419.9308	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0099	0.0097	0.0155	0.0151	0.0078	0.008	0.0088	0.0084	0.0119	0.0121	0.0121	0.012	0.0401	9e-04	999.921	2	6	2	"root"	-37613.6213	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0101	0.0095	0.0141	0.0165	0.008	0.0073	0.0079	0.0081	0.0128	0.0117	0.0123	0.0114	0.0398	0.001	999.7353	1	3	1	"root"	-18535.4264	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0101	0.0096	0.0141	0.0166	0.0079	0.0073	0.0078	0.0081	0.0133	0.0117	0.0124	0.0111	0.0397	0.001	999.5553	1	4	2	"root"	-37069.029	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0101	0.0095	0.0142	0.0165	0.0079	0.0073	0.0078	0.008	0.0135	0.0117	0.0126	0.0111	0.0396	0.001	999.3132	1	5	3	"root"	-55602.4296	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0101	0.0096	0.0141	0.0166	0.008	0.0074	0.0079	0.0082	0.0132	0.0117	0.0124	0.0112	0.0398	0.001	999.6177	2	6	2	"root"	-37068.9801	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0092	0.0099	0.0137	0.0154	0.0082	0.0075	0.0086	0.0078	0.0124	0.0136	0.013	0.0111	0.0393	0.001	999.2543	1	3	1	"root"	-18632.6116	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0092	0.0099	0.0137	0.0154	0.0081	0.0075	0.0088	0.0078	0.0123	0.0133	0.0127	0.0113	0.0395	0.001	999.4622	1	4	2	"root"	-37261.9499	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0091	0.0099	0.0138	0.0154	0.0082	0.0075	0.0088	0.0078	0.0122	0.013	0.0126	0.0114	0.0397	0.001	999.6191	1	5	3	"root"	-55891.4506	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0092	0.0099	0.0137	0.0154	0.0081	0.0075	0.0087	0.0078	0.0123	0.0133	0.0127	0.0112	0.0395	0.001	999.4626	2	6	2	"root"	-37261.8292	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0093	0.0089	0.0132	0.0162	0.0086	0.0083	0.0075	0.008	0.0119	0.0115	0.0123	0.012	0.0401	0.001	999.7593	1	3	1	"root"	-18438.3383	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0093	0.0088	0.0134	0.016	0.0086	0.0083	0.0075	0.008	0.012	0.0117	0.0122	0.012	0.0401	0.001	999.8723	1	4	2	"root"	-36871.2001	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0092	0.0087	0.0134	0.0161	0.0086	0.0083	0.0076	0.008	0.012	0.0117	0.0122	0.012	0.0401	0.001	999.8784	1	5	3	"root"	-55304.007	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0093	0.0089	0.0131	0.0163	0.0085	0.0083	0.0075	0.008	0.0119	0.0114	0.0123	0.0119	0.0401	0.001	999.7508	2	6	2	"root"	-36870.7493	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0097	0.0094	0.0141	0.0155	0.0083	0.0076	0.0084	0.0085	0.0093	0.0117	0.0101	0.0115	0.0416	0.001	992.0012	1	3	1	"root"	-18436.0855	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0098	0.0094	0.0143	0.0154	0.0084	0.0076	0.0083	0.0083	0.0088	0.0114	0.0095	0.0111	0.0421	0.001	989.2037	1	4	2	"root"	-36868.7719	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0097	0.0092	0.0144	0.0153	0.0084	0.0076	0.0085	0.0085	0.0094	0.0111	0.0096	0.0107	0.0421	0.001	988.5083	1	5	3	"root"	-55300.7926	1
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0098	0.0094	0.0145	0.0153	0.0082	0.0076	0.0084	0.0084	0.0088	0.0113	0.0094	0.0109	0.0422	0.001	988.8578	2	6	2	"root"	-36868.3705	1
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.01	0.01	0.0147	0.0137	0.0074	0.0077	0.008	0.0084	0.0112	0.0136	0.0114	0.0093	0.0406	0.001	988.1227	1	3	1	"root"	-18350.3782	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0101	0.01	0.0146	0.0133	0.0073	0.0077	0.0079	0.0084	0.0116	0.0131	0.0118	0.0105	0.0402	0.001	991.0064	1	4	2	"root"	-36700.6757	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.01	0.01	0.0146	0.0137	0.0074	0.0076	0.0079	0.0084	0.0113	0.0136	0.0116	0.0094	0.0405	0.001	989.1083	1	5	3	"root"	-55044.4904	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0101	0.01	0.0146	0.0135	0.0074	0.0077	0.0079	0.0084	0.0112	0.0136	0.0116	0.0094	0.0405	0.001	988.4106	2	6	2	"root"	-36695.3705	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0105	0.0087	0.0158	0.0141	0.0075	0.0077	0.0084	0.0077	0.0114	0.0116	0.012	0.0125	0.0401	0.001	999.8525	1	3	1	"root"	-18438.4534	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0104	0.0091	0.016	0.014	0.0076	0.0077	0.0086	0.0078	0.0105	0.0111	0.0119	0.0133	0.0403	0.001	999.5614	1	4	2	"root"	-36873.5077	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0104	0.009	0.0161	0.0139	0.0076	0.0077	0.0086	0.0078	0.0105	0.0111	0.012	0.0132	0.0403	0.001	999.6146	1	5	3	"root"	-55309.322	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0104	0.009	0.016	0.0139	0.0077	0.0078	0.0086	0.0077	0.0108	0.0113	0.012	0.013	0.0402	0.001	999.7037	2	6	2	"root"	-36873.7576	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0092	0.0092	0.016	0.0155	0.0069	0.0076	0.0082	0.0078	0.0121	0.0123	0.0121	0.0116	0.0398	0.001	999.9882	1	3	1	"root"	-18373.251	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0092	0.0092	0.0161	0.0156	0.0069	0.0076	0.0082	0.0078	0.0121	0.0124	0.0121	0.0117	0.0398	0.001	1000.0929	1	4	2	"root"	-36744.8908	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0092	0.0092	0.0159	0.0155	0.0069	0.0077	0.0081	0.0078	0.012	0.0122	0.0121	0.0117	0.0398	0.001	1000.1704	1	5	3	"root"	-55116.5983	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0092	0.0092	0.0159	0.0155	0.0069	0.0077	0.0082	0.0078	0.012	0.0122	0.0121	0.0117	0.0398	0.001	1000.0948	2	6	2	"root"	-36744.8501	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0094	0.0094	0.0134	0.0143	0.0082	0.008	0.0077	0.0084	0.0112	0.0139	0.0135	0.0101	0.0397	0.001	999.4246	1	3	1	"root"	-18426.2872	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0094	0.0094	0.0135	0.0143	0.0082	0.0079	0.0077	0.0085	0.0113	0.0138	0.0133	0.0103	0.0397	0.001	999.4796	1	4	2	"root"	-36850.0889	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0093	0.0093	0.0135	0.0143	0.0082	0.008	0.0076	0.0084	0.0112	0.0139	0.0135	0.0102	0.0397	0.001	999.2453	1	5	3	"root"	-55273.5097	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0094	0.0094	0.0135	0.0143	0.0082	0.008	0.0077	0.0084	0.0112	0.014	0.0135	0.0101	0.0397	0.001	999.3758	2	6	2	"root"	-36849.8094	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0108	0.0097	0.0168	0.0135	0.0077	0.008	0.0078	0.0081	0.0122	0.0096	0.013	0.012	0.0403	0.001	999.5659	1	3	1	"root"	-18613.4738	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.011	0.0096	0.0169	0.0134	0.0077	0.0081	0.008	0.0081	0.0122	0.0102	0.0127	0.012	0.0402	0.001	999.7089	1	4	2	"root"	-37217.9173	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.011	0.0096	0.0169	0.0134	0.0077	0.0081	0.008	0.0081	0.0122	0.0102	0.0127	0.012	0.0402	0.001	999.7089	1	5	3	"root"	-55822.0173	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.011	0.0096	0.0169	0.0134	0.0077	0.0081	0.008	0.0081	0.0122	0.0102	0.0127	0.012	0.0402	0.001	999.7116	2	6	2	"root"	-37213.6966	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0094	0.0103	0.0142	0.0152	0.0083	0.0078	0.0073	0.0075	0.0123	0.0126	0.0112	0.0109	0.0401	0.0011	990.2023	1	3	1	"root"	-18405.6819	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0094	0.0103	0.0142	0.0152	0.0083	0.0078	0.0074	0.0075	0.0124	0.0127	0.011	0.0107	0.0402	0.0011	998.6102	1	4	2	"root"	-36805.2981	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0096	0.0102	0.0146	0.0151	0.0081	0.0076	0.0073	0.0074	0.0121	0.0122	0.0116	0.0115	0.04	0.0011	999.6619	1	5	3	"root"	-55206.748	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0094	0.0102	0.0143	0.0152	0.0081	0.0077	0.0074	0.0075	0.0123	0.0125	0.0112	0.011	0.0402	0.0011	998.8171	2	6	2	"root"	-36805.5575	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.011	0.0097	0.015	0.0148	0.0078	0.0077	0.0087	0.0078	0.0124	0.0117	0.0124	0.0121	0.0398	0.001	999.7298	1	3	1	"root"	-18790.2786	0
