"sim:O->X"	"sim:X->O"	"sim:OX|XO"	"sim:X"	"fit:O->X"	"fit:X->O"	"fit:OX|XO"	"fit:X"	"leftwin"	"longwin"	"shortwin"	"rowtaxon"	"loglik"	"convergence"
0.05	0.05	1	0.5	0.0506	0.0483	0.9231	0.5337	2	6	2	"root"	-21968.5856	0
0.05	0.05	1	0.5	0.0506	0.0483	0.9218	0.5356	1	5	3	"root"	-32947.2826	0
0.05	0.05	1	0.5	0.0507	0.0483	0.9227	0.5327	1	4	2	"root"	-21968.6781	0
0.05	0.05	1	0.5	0.0508	0.0481	0.9249	0.5258	1	3	1	"root"	-10990.1771	0
0.05	0.05	1	0.5	0.0502	0.0447	1.0108	0.3685	2	6	2	"root"	-21199.7476	0
0.05	0.05	1	0.5	0.0503	0.0447	1.0084	0.3666	1	5	3	"root"	-31791.3189	0
0.05	0.05	1	0.5	0.0503	0.0448	1.0093	0.3683	1	4	2	"root"	-21199.8762	0
0.05	0.05	1	0.5	0.0502	0.0449	1.012	0.3738	1	3	1	"root"	-10608.4217	0
0.05	0.05	1	0.5	0.0481	0.0502	1.0234	0.5747	2	6	2	"root"	-21523.0416	0
0.05	0.05	1	0.5	0.0482	0.0502	1.0249	0.5726	1	5	3	"root"	-32271.0524	0
0.05	0.05	1	0.5	0.0482	0.0503	1.0217	0.5739	1	4	2	"root"	-21523.6229	0
0.05	0.05	1	0.5	0.0481	0.0504	1.0136	0.578	1	3	1	"root"	-10775.6123	0
0.05	0.05	1	0.5	0.0511	0.0484	0.9774	0.3548	2	6	2	"root"	-22037.465	0
0.05	0.05	1	0.5	0.0511	0.0484	0.9791	0.3529	1	5	3	"root"	-33044.3836	0
0.05	0.05	1	0.5	0.0511	0.0485	0.9758	0.3543	1	4	2	"root"	-22037.8354	0
0.05	0.05	1	0.5	0.0511	0.0486	0.9663	0.3584	1	3	1	"root"	-11031.0793	0
0.05	0.05	1	0.5	0.0501	0.0509	0.9348	0.5161	2	6	2	"root"	-22223.9703	0
0.05	0.05	1	0.5	0.0501	0.051	0.9337	0.5206	1	5	3	"root"	-33328.182	0
0.05	0.05	1	0.5	0.0502	0.0509	0.9335	0.5156	1	4	2	"root"	-22224.2949	0
0.05	0.05	1	0.5	0.0504	0.0507	0.9324	0.5027	1	3	1	"root"	-11120.4819	0
0.05	0.05	1	0.5	0.0512	0.0464	1.0156	0.3796	2	6	2	"root"	-21629.1655	0
0.05	0.05	1	0.5	0.0511	0.0464	1.0158	0.3821	1	5	3	"root"	-32435.9424	0
0.05	0.05	1	0.5	0.0512	0.0464	1.0162	0.3805	1	4	2	"root"	-21628.936	0
0.05	0.05	1	0.5	0.0513	0.0463	1.0176	0.3756	1	3	1	"root"	-10821.7743	0
0.05	0.05	1	0.5	0.0514	0.0511	0.9623	0.4735	2	6	2	"root"	-22438.2583	0
0.05	0.05	1	0.5	0.0514	0.0511	0.9596	0.4704	1	5	3	"root"	-33650.139	0
0.05	0.05	1	0.5	0.0514	0.0511	0.9603	0.4731	1	4	2	"root"	-22438.6942	0
0.05	0.05	1	0.5	0.0513	0.0514	0.9629	0.4831	1	3	1	"root"	-11227.1447	0
0.05	0.05	1	0.5	0.0472	0.0575	1.0114	0.6802	2	6	2	"root"	-22309.6819	0
0.05	0.05	1	0.5	0.0472	0.0576	1.0125	0.685	1	5	3	"root"	-33450.8175	0
0.05	0.05	1	0.5	0.0472	0.0575	1.0109	0.6814	1	4	2	"root"	-22309.6392	0
0.05	0.05	1	0.5	0.0473	0.0573	1.0038	0.6706	1	3	1	"root"	-11168.9469	0
0.05	0.05	1	0.5	0.0506	0.0506	1.0603	0.5896	2	6	2	"root"	-22106.9617	0
0.05	0.05	1	0.5	0.0506	0.0505	1.0622	0.5858	1	5	3	"root"	-33145.9503	0
0.05	0.05	1	0.5	0.0506	0.0506	1.059	0.591	1	4	2	"root"	-22107.1191	0
0.05	0.05	1	0.5	0.0503	0.0511	1.048	0.6069	1	3	1	"root"	-11068.3383	0
0.05	0.05	1	0.5	0.0498	0.052	1.0033	0.5391	2	6	2	"root"	-22170.403	0
0.05	0.05	1	0.5	0.0498	0.052	1.0051	0.5392	1	5	3	"root"	-33241.9655	0
0.05	0.05	1	0.5	0.0498	0.052	1.0026	0.5384	1	4	2	"root"	-22170.3974	0
