"sim:A->T"	"sim:T->A"	"sim:C->G"	"sim:G->C"	"sim:A->C"	"sim:T->G"	"sim:A->G"	"sim:T->C"	"sim:C->A"	"sim:G->T"	"sim:C->T"	"sim:G->A"	"sim:CG->TG|CG->CA"	"sim:C|G"	"sim:Ne"	"fit:A->T"	"fit:T->A"	"fit:C->G"	"fit:G->C"	"fit:A->C"	"fit:T->G"	"fit:A->G"	"fit:T->C"	"fit:C->A"	"fit:G->T"	"fit:C->T"	"fit:G->A"	"fit:CG->TG|CG->CA"	"fit:C|G"	"fit:Ne"	"leftwin"	"longwin"	"shortwin"	"rowtaxon"	"loglik"	"convergence"
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0103	0.0113	0.015	0.0144	0.0184	0.0174	0.0181	0.0179	0.0041	0.004	0.003	0.0036	0.0018	0	520.0697	1	3	1	"root"	-18032.537	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0098	0.0109	0.0147	0.0142	0.0183	0.0174	0.018	0.0178	0.0039	0.0039	0.0033	0.0039	0.0045	0	2039.2417	1	4	2	"root"	-36080.6495	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0098	0.0109	0.0147	0.0142	0.0183	0.0174	0.018	0.0178	0.0039	0.0039	0.0033	0.0039	0.0045	0	1097.4418	1	5	3	"root"	-54121.5055	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0098	0.0109	0.0147	0.0142	0.0183	0.0174	0.018	0.0178	0.0039	0.0039	0.0033	0.0039	0.0045	1e-04	1035.1845	2	6	2	"root"	-36080.4606	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0099	0.0104	0.0147	0.0147	0.0186	0.0188	0.0166	0.0174	0.0037	0.0041	0.003	0.0031	0.0032	0	1408.4809	1	3	1	"root"	-17825.03	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0096	0.0102	0.0146	0.0146	0.0182	0.0185	0.0163	0.0171	0.0039	0.0043	0.0029	0.0029	0.0051	1e-04	403.2344	1	4	2	"root"	-35654.6213	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0099	0.0105	0.0148	0.0148	0.018	0.0183	0.016	0.0169	0.0036	0.0041	0.0031	0.0029	0.004	1e-04	411.6464	1	5	3	"root"	-53477.7231	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0094	0.01	0.0145	0.0145	0.0184	0.0187	0.0165	0.0173	0.0035	0.0039	0.0035	0.0038	0.0057	1e-04	950.431	2	6	2	"root"	-35665.601	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0096	0.0104	0.0145	0.0138	0.019	0.0186	0.0192	0.0171	0.0041	0.0047	0.0038	0.0036	0.0012	0	1104.2061	1	3	1	"root"	-18101.3565	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0094	0.0101	0.0143	0.0137	0.0189	0.0185	0.0191	0.017	0.0039	0.0045	0.0037	0.0035	0.0047	1e-04	936.284	1	4	2	"root"	-36217.8979	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0094	0.0101	0.0143	0.0137	0.0189	0.0185	0.0191	0.017	0.0039	0.0045	0.0037	0.0035	0.0047	1e-04	457.2987	1	5	3	"root"	-54327.1963	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0094	0.0101	0.0143	0.0137	0.0189	0.0185	0.0191	0.017	0.0039	0.0045	0.0037	0.0035	0.0047	1e-04	672.0662	2	6	2	"root"	-36217.7615	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0103	0.0102	0.0164	0.0159	0.0179	0.0191	0.0174	0.0182	0.0035	0.0036	0.0036	0.0035	0.0023	0	1072.712	1	3	1	"root"	-18145.0129	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.01	0.0099	0.0163	0.0157	0.0178	0.019	0.0173	0.018	0.0034	0.0035	0.0035	0.0034	0.0056	0	2019.176	1	4	2	"root"	-36300.2215	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.01	0.0099	0.0163	0.0157	0.0178	0.019	0.0173	0.018	0.0034	0.0035	0.0035	0.0034	0.0056	0	1645.3277	1	5	3	"root"	-54450.593	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0102	0.0101	0.0164	0.0158	0.0176	0.0188	0.0171	0.0179	0.0037	0.0038	0.0026	0.0027	0.005	1e-04	414.0603	2	6	2	"root"	-36288.622	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0095	0.0103	0.0151	0.0152	0.0176	0.0186	0.0187	0.0175	0.0044	0.0032	0.0036	0.0036	0.0022	9.0133e-06	1872.1544	1	3	1	"root"	-17994.9419	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.009	0.0098	0.0148	0.015	0.0175	0.0185	0.0186	0.0174	0.0042	0.0031	0.0039	0.0041	0.0055	0	1826.5351	1	4	2	"root"	-36007.3831	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0093	0.01	0.0149	0.0151	0.0173	0.0182	0.0183	0.0171	0.0047	0.0035	0.0034	0.0032	0.0046	1e-04	381.8587	1	5	3	"root"	-53995.7805	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.009	0.0098	0.0148	0.015	0.0175	0.0185	0.0186	0.0174	0.0042	0.0031	0.0039	0.0041	0.0055	0	1499.8832	2	6	2	"root"	-36007.2466	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0107	0.0104	0.0139	0.0153	0.0193	0.0178	0.0189	0.0177	0.004	0.004	0.0046	0.0037	0.0028	0	1214.7129	1	3	1	"root"	-18390.1103	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0102	0.0099	0.0137	0.015	0.0191	0.0176	0.0187	0.0176	0.0038	0.0038	0.0051	0.0042	0.0061	0	1719.451	1	4	2	"root"	-36796.1842	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0102	0.0099	0.0137	0.015	0.0191	0.0176	0.0187	0.0176	0.0038	0.0038	0.0051	0.0042	0.0061	1e-04	551.0358	1	5	3	"root"	-55194.6959	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0105	0.0102	0.0138	0.0152	0.0189	0.0174	0.0185	0.0174	0.0043	0.0043	0.0044	0.0035	0.0053	2e-04	301.4338	2	6	2	"root"	-36786.2058	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0112	0.011	0.0148	0.0157	0.0189	0.0179	0.0174	0.0183	0.0043	0.0039	0.0042	0.004	0.0014	9.4016e-06	1932.7997	1	3	1	"root"	-18454.6064	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0107	0.0105	0.0146	0.0155	0.0188	0.0178	0.0173	0.0182	0.004	0.0037	0.0043	0.0041	0.0051	1e-04	1032.3959	1	4	2	"root"	-36926.5216	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0107	0.0105	0.0146	0.0155	0.0188	0.0178	0.0173	0.0182	0.004	0.0037	0.0043	0.0041	0.0051	0	2040.1736	1	5	3	"root"	-55389.0601	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0107	0.0105	0.0146	0.0155	0.0188	0.0178	0.0173	0.0182	0.004	0.0037	0.0043	0.0041	0.0051	0	1868.1597	2	6	2	"root"	-36926.3562	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0092	0.0104	0.0143	0.0136	0.0201	0.0172	0.0169	0.018	0.0034	0.0039	0.0053	0.0043	1e-04	7.6584e-06	1617.9553	1	3	1	"root"	-18095.007	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0092	0.0104	0.0143	0.0136	0.0201	0.0172	0.0169	0.018	0.0034	0.0039	0.0053	0.0043	0.0049	0	1933.9833	1	4	2	"root"	-36210.4818	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0092	0.0104	0.0143	0.0136	0.0201	0.0172	0.0169	0.018	0.0034	0.0039	0.0053	0.0043	0.0049	0	2064.9907	1	5	3	"root"	-54315.332	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0096	0.0109	0.0146	0.0139	0.0193	0.0164	0.0162	0.0173	0.0038	0.0042	0.0057	0.0045	0.001	2e-04	293.5731	2	6	2	"root"	-36187.7646	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0086	0.0093	0.0142	0.0149	0.018	0.0184	0.0186	0.0187	0.0035	0.0037	0.0041	0.004	1e-04	0	915.348	1	3	1	"root"	-18024.4649	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0086	0.0093	0.0142	0.0149	0.018	0.0184	0.0187	0.0187	0.0035	0.0037	0.0041	0.004	0.004	0	1585.6017	1	4	2	"root"	-36069.0682	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0086	0.0093	0.0142	0.0149	0.018	0.0184	0.0187	0.0187	0.0035	0.0037	0.0041	0.004	0.004	0	1070.1317	1	5	3	"root"	-54103.4648	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0086	0.0093	0.0142	0.0149	0.018	0.0184	0.0187	0.0187	0.0035	0.0037	0.0041	0.004	0.004	0	2176.5303	2	6	2	"root"	-36068.8818	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0105	0.0095	0.0136	0.0152	0.0171	0.0181	0.0184	0.0177	0.0043	0.0041	0.0036	0.0039	0.0021	8.0546e-06	2070.8819	1	3	1	"root"	-17886.5426	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.01	0.009	0.0134	0.0149	0.017	0.018	0.0182	0.0176	0.004	0.0039	0.004	0.0043	0.0055	1e-04	1100.0193	1	4	2	"root"	-35785.8144	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.01	0.009	0.0134	0.0149	0.017	0.018	0.0182	0.0176	0.004	0.0039	0.004	0.0043	0.0055	0	1570.6573	1	5	3	"root"	-53676.4159	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.01	0.009	0.0134	0.0149	0.017	0.018	0.0182	0.0176	0.004	0.0039	0.004	0.0043	0.0055	0	1783.3656	2	6	2	"root"	-35780.9844	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0094	0.01	0.0146	0.0142	0.0182	0.018	0.0192	0.0188	0.0039	0.0044	0.0042	0.0045	9e-04	0	798.3347	1	3	1	"root"	-18191.4069	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0091	0.0097	0.0144	0.0141	0.0182	0.0179	0.0191	0.0187	0.0037	0.0041	0.004	0.0043	0.005	0	1364.5401	1	4	2	"root"	-36400.5045	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0091	0.0097	0.0144	0.0141	0.0182	0.0179	0.0191	0.0187	0.0037	0.0041	0.004	0.0043	0.005	1e-04	817.5683	1	5	3	"root"	-54595.2166	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0091	0.0097	0.0144	0.0141	0.0182	0.0179	0.0191	0.0187	0.0037	0.0041	0.004	0.0043	0.005	0	1281.6737	2	6	2	"root"	-36394.6782	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0104	0.0094	0.0162	0.0162	0.0174	0.0189	0.018	0.0173	0.004	0.0035	0.0044	0.0043	7e-04	0	1214.9425	1	3	1	"root"	-18269.6719	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0102	0.0091	0.0161	0.016	0.0173	0.0188	0.0179	0.0173	0.0038	0.0034	0.0042	0.0041	0.0048	1e-04	978.2969	1	4	2	"root"	-36548.7404	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0102	0.0091	0.0161	0.016	0.0173	0.0188	0.0179	0.0173	0.0038	0.0034	0.0042	0.0041	0.0048	1e-04	621.6562	1	5	3	"root"	-54818.5597	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0102	0.0091	0.0161	0.016	0.0173	0.0188	0.0179	0.0172	0.0038	0.0034	0.0042	0.0041	0.0048	0	1452.3508	2	6	2	"root"	-36540.5515	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0095	0.0099	0.0159	0.0144	0.0191	0.0188	0.0194	0.0175	0.0042	0.0038	0.004	0.0041	0.0011	0	1719.7416	1	3	1	"root"	-18273.4718	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0092	0.0097	0.0158	0.0143	0.019	0.0187	0.0193	0.0174	0.004	0.0036	0.0038	0.0039	0.0046	1e-04	847.8641	1	4	2	"root"	-36561.4626	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0092	0.0097	0.0158	0.0143	0.019	0.0187	0.0193	0.0174	0.004	0.0036	0.0038	0.0039	0.0046	0	1707.7319	1	5	3	"root"	-54842.5619	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0092	0.0097	0.0158	0.0143	0.019	0.0187	0.0193	0.0174	0.004	0.0036	0.0038	0.0039	0.0046	0	1459.0069	2	6	2	"root"	-36561.3489	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0092	0.0091	0.0152	0.0154	0.0169	0.0182	0.0182	0.0184	0.0034	0.0036	0.004	0.004	1e-04	4.7713e-06	2113.8743	1	3	1	"root"	-17994.8581	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0092	0.0091	0.0152	0.0154	0.0169	0.0182	0.0182	0.0184	0.0034	0.0036	0.004	0.004	0.0047	0	1962.158	1	4	2	"root"	-36004.423	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0092	0.0091	0.0152	0.0154	0.0169	0.0182	0.0182	0.0184	0.0034	0.0036	0.004	0.004	0.0047	0	1114.0322	1	5	3	"root"	-54006.7092	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0092	0.0091	0.0152	0.0154	0.0169	0.0182	0.0182	0.0184	0.0034	0.0036	0.004	0.004	0.0047	1e-04	711.6705	2	6	2	"root"	-36004.2625	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0098	0.0105	0.0143	0.0143	0.0198	0.0183	0.0178	0.018	0.0047	0.0041	0.004	0.0041	0.0013	0	1991.207	1	3	1	"root"	-18222.4708	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0095	0.0102	0.0142	0.0142	0.0197	0.0182	0.0177	0.0179	0.0044	0.0038	0.0038	0.0039	0.0052	0	2011.0506	1	4	2	"root"	-36460.3604	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0095	0.0102	0.0142	0.0142	0.0197	0.0182	0.0177	0.0179	0.0044	0.0038	0.0038	0.0039	0.0052	0	2090.249	1	5	3	"root"	-54690.682	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0095	0.0102	0.0142	0.0142	0.0197	0.0182	0.0177	0.0179	0.0044	0.0038	0.0038	0.0039	0.0052	0	2114.5906	2	6	2	"root"	-36460.1958	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0091	0.0108	0.0152	0.0154	0.0173	0.0186	0.0174	0.0186	0.0041	0.0043	0.0045	0.0057	0.0013	0	1896.1597	1	3	1	"root"	-18374.5695	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0088	0.0105	0.015	0.0153	0.0172	0.0184	0.0172	0.0185	0.0039	0.0041	0.0043	0.0055	0.0062	0	1875.2067	1	4	2	"root"	-36766.2428	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0088	0.0105	0.015	0.0153	0.0172	0.0184	0.0172	0.0185	0.0039	0.0041	0.0043	0.0055	0.0062	0	2183.2603	1	5	3	"root"	-55148.9216	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0088	0.0105	0.015	0.0153	0.0172	0.0184	0.0172	0.0185	0.0039	0.0041	0.0043	0.0055	0.0062	1e-04	535.7404	2	6	2	"root"	-36766.1235	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0094	0.0105	0.0156	0.0154	0.0171	0.0178	0.0186	0.0185	0.0045	0.0033	0.0041	0.0038	9e-04	0	946.419	1	3	1	"root"	-18109.7685	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0091	0.0103	0.0155	0.0153	0.017	0.0177	0.0185	0.0184	0.0043	0.0031	0.0039	0.0037	0.0046	0	2079.3884	1	4	2	"root"	-36235.6254	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0091	0.0103	0.0155	0.0153	0.017	0.0177	0.0185	0.0184	0.0043	0.0031	0.0039	0.0037	0.0046	0	1672.9768	1	5	3	"root"	-54353.5378	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0091	0.0103	0.0155	0.0153	0.017	0.0177	0.0185	0.0184	0.0043	0.0031	0.0039	0.0037	0.0046	0	1860.3262	2	6	2	"root"	-36235.539	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0096	0.0103	0.0158	0.0151	0.02	0.0173	0.0191	0.0193	0.0042	0.004	0.0055	0.0046	0.0011	0	2109.5589	1	3	1	"root"	-18744.5241	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0093	0.01	0.0157	0.0149	0.0199	0.0172	0.019	0.0192	0.004	0.0037	0.0052	0.0044	0.0058	1e-04	790.3083	1	4	2	"root"	-37500.6875	0
